hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
Kepler-406,2,1.14,4.529999999999999,3.5248049999999997,364.03,5538.0
Kepler-1801,2,2.80963077,8.3,63.512041425,839.332,5738.0
K2-166,2,1.705,3.705,6.165794999999999,476.882,5960.0
Kepler-213,2,1.98,4.67,3.6426610000000004,634.939,5696.0
Kepler-750,2,2.3449999999999998,6.45,6.758931005000001,1296.02,6160.0
Kepler-291,2,2.02,4.75,4.6236485,1786.48,6002.0
Kepler-653,2,1.365,2.4295,7.803933118,595.634,5665.0
LP 890-9,2,1.3435000000000001,19.25,5.59368275,32.4298,2850.0
Kepler-449,2,2.41,6.475,23.12756,241.949,5649.18
Kepler-177,2,6.115,10.27,43.13468,1435.44,5732.0
HD 45184,2,3.215,10.5,9.5104,21.9532,5869.0
Kepler-405,2,3.37,12.290000000000001,20.1702605,1065.08,5818.0
TOI-406,2,1.7000000000000002,4.325,8.2415615,31.0597,3392.0
Kepler-328,2,3.85,33.95,53.1165,2213.19,6064.0
HD 106315,2,3.3949999999999996,13.899999999999999,15.304705,109.353,6327.0
Kepler-1050,2,1.54,2.99,18.25360575,490.488,6010.0
Kepler-589,2,1.6936361899999999,3.61,10.037154724999999,612.803,5372.0
Kepler-69,2,1.975,4.61,128.09182049999998,730.625,5638.0
Kepler-179,2,1.8199999999999998,3.995,4.568028,605.68,5302.0
GJ 849,2,13.850000000000001,299.23544519,3957.6549999999997,8.80058,3467.0
Kepler-345,2,0.97,1.34,8.401495,260.0,4504.0
Kepler-28,2,1.908,1.845,7.45,438.359,4499.3
Kepler-211,2,1.275,10.215,5.0895125,309.353,5123.0
Kepler-1093,2,1.955,4.48,57.4023773,1072.88,6166.0
Kepler-432,2,13.0671525,1245.8935999999999,229.3505645,848.023,4995.0
Kepler-200,2,1.8599999999999999,4.165,9.408480999999998,665.912,5678.0
HAT-P-2,2,11.5298795,3133.78809302,4252.8167579,127.774,6412.0
Kepler-362,2,1.165,1.6575000000000002,24.0967335,1090.51,5788.0
Kepler-264,2,3.08,9.75,90.453746,942.173,6158.0
K2-59,2,2.355,6.145,15.99375,311.313,5055.0
TOI-2134,2,4.9799999999999995,25.51,52.36460025,22.6202,4580.0
HD 203387,2,12.85,1742.49424138,1496.803735,61.7477,5174.32
TIC 139270665,2,10.064896275,850.6677313350001,516.812,189.875,5844.0
Kepler-263,2,2.5700000000000003,7.135,31.95043,754.747,5265.0
Kepler-125,2,1.5550000000000002,3.27,4.9694265,183.365,3810.0
